time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_loss,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
7000,257.0,225.08,-0.06404000520706177,1400,222,31,8.978292316896841e-05,-0.08972418308258057,0.0007,1399,-7.703012943267822,,
7500,,,26.815967559814453,,,,24.154237747192383,-0.17472898960113525,0.0007,1499,-7.675689697265625,257.0,0.0
7500,257.0,231.74074074074073,,1500,199,37,,,,,,,
8000,257.0,233.60714285714286,-0.0030702566727995872,1600,203,39,2.0297086678056075e-07,0.1365947723388672,0.0007,1599,-7.6861891746521,,
8500,257.0,233.13333333333333,-0.11984653770923615,1700,206,41,0.00030093712848611176,0.23823285102844238,0.0007,1699,-7.662578582763672,,
9000,257.0,250.0,-0.2753642499446869,1800,210,42,0.0014373367885127664,0.026998281478881836,0.0007,1799,-7.624777317047119,,
9500,257.0,259.11764705882354,89.21257781982422,1900,212,44,174.77366638183594,-1.4010624885559082,0.0007,1899,-7.6441969871521,,
10000,,,-0.0633411779999733,,,,8.149334462359548e-05,-0.3217604160308838,0.0007,1999,-7.697564601898193,257.0,0.0
10000,257.0,260.47222222222223,,2000,197,50,,,,,,,
10500,257.0,266.2162162162162,-0.015475856140255928,2100,200,52,4.625321253115544e-06,0.06681972742080688,0.0007,2099,-7.668722629547119,,
11000,257.0,278.20512820512823,-0.2404533475637436,2200,202,54,0.0011238178703933954,-0.0034682750701904297,0.0007,2199,-7.67726469039917,,
11500,257.0,281.5609756097561,-0.031886156648397446,2300,205,56,2.2318145056487992e-05,-0.08849918842315674,0.0007,2299,-7.698319435119629,,
12000,257.0,276.13953488372096,-0.08090223371982574,2400,207,57,0.0001307610800722614,0.011770486831665039,0.0007,2399,-7.719081878662109,,
12500,,,0.0008785548852756619,,,,1.6416199954960575e-08,-96.10893249511719,0.0007,2499,-7.722726345062256,257.0,0.0
12500,257.0,280.3777777777778,,2500,195,63,,,,,,,
13000,257.0,277.2826086956522,-0.009014259092509747,2600,198,65,1.5522363128184224e-06,-0.11361515522003174,0.0007,2599,-7.727356910705566,,
13500,257.0,276.9166666666667,0.0998474657535553,2700,200,67,0.00029401504434645176,-165.24461364746094,0.0007,2699,-7.7316508293151855,,
14000,257.0,283.16,-0.05057085305452347,2800,202,69,5.124539529788308e-05,-0.0005373954772949219,0.0007,2799,-7.722784519195557,,
14500,257.0,281.4423076923077,143.30528259277344,2900,204,70,541.4378051757812,-15.518329620361328,0.0007,2899,-7.708184719085693,,
15000,,,-0.09418713301420212,,,,0.00018262157391291112,0.0004628300666809082,0.0007,2999,-7.699455261230469,257.0,0.0
15000,257.0,279.5740740740741,,3000,194,77,,,,,,,
15500,257.0,282.1454545454545,-0.05535060912370682,3100,196,78,6.277985085034743e-05,-0.008349418640136719,0.0007,3099,-7.709527492523193,,
16000,257.0,284.17543859649123,-0.04782614856958389,3200,198,80,4.6246899728430435e-05,0.15012788772583008,0.0007,3199,-7.688666820526123,,
16500,257.0,290.66101694915255,-37.28217315673828,3300,200,82,30.503870010375977,-4.213837146759033,0.0007,3299,-7.68313455581665,,
17000,257.0,287.344262295082,-0.02854022942483425,3400,202,84,1.7203768948093057e-05,-0.03649699687957764,0.0007,3399,-7.728672027587891,,
17500,,,-0.12704049050807953,,,,0.0003323579439893365,0.0010243654251098633,0.0007,3499,-7.718125343322754,257.0,0.0
17500,257.0,289.8888888888889,,3500,198,88,,,,,,,
18000,257.0,289.0625,-0.030557839199900627,3600,199,90,1.936059197760187e-05,-0.0001850128173828125,0.0007,3599,-7.721194744110107,,
18500,257.0,285.24242424242425,-166.6722869873047,3700,201,91,495.96759033203125,0.08416736125946045,0.0007,3699,-7.647195339202881,,
19000,257.0,292.2647058823529,88.62071990966797,3800,203,93,136.68202209472656,-37.5458984375,0.0007,3799,-7.729775428771973,,
19500,257.0,293.1,-0.002816613530740142,3900,204,95,1.588197591217977e-07,0.01026296615600586,0.0007,3899,-7.70220422744751,,
20000,,,122.33040618896484,,,,368.0053405761719,-37.980560302734375,0.0007,3999,-7.724281311035156,257.0,0.0
20000,257.0,290.0,,4000,197,101,,,,,,,
20500,257.0,295.1917808219178,-0.04252881556749344,4100,198,103,4.042911677970551e-05,0.06348133087158203,0.0007,4099,-7.713737487792969,,
21000,257.0,295.36,-0.16143138706684113,4200,200,104,0.0005398032371886075,0.12198400497436523,0.0007,4199,-7.704600811004639,,
21500,257.0,293.27272727272725,-0.07707545906305313,4300,201,106,0.00011488966265460476,0.04963362216949463,0.0007,4299,-7.7112135887146,,
22000,257.0,299.24050632911394,-0.009366479702293873,4400,202,108,1.9361559679964557e-06,-0.2858872413635254,0.0007,4399,-7.712384223937988,,
22500,,,158.76026916503906,,,,579.6091918945312,-0.006541132926940918,0.0007,4499,-7.713892459869385,257.0,0.0
22500,257.0,299.01234567901236,,4500,196,114,,,,,,,
23000,257.0,301.4512195121951,-133.41357421875,4600,197,116,425.0923767089844,-5.276749134063721,0.0007,4599,-7.710658550262451,,
23500,257.0,303.9642857142857,-0.033338263630867004,4700,198,118,2.1809382815263234e-05,0.07706195116043091,0.0007,4699,-7.7141618728637695,,
24000,257.0,299.59302325581393,268.8600158691406,4800,200,119,1224.713623046875,0.0011965632438659668,0.0007,4799,-7.7194037437438965,,
24500,257.0,296.27272727272725,-0.08409293740987778,4900,201,121,0.00014021141396369785,-0.00021529197692871094,0.0007,4899,-7.709437847137451,,
25000,,,28.71128273010254,,,,13.602139472961426,0.0006273388862609863,0.0007,4999,-7.707417964935303,257.0,0.0
25000,257.0,298.25555555555553,,5000,196,126,,,,,,,
25500,257.0,296.4835164835165,108.8751220703125,5100,198,128,221.9521942138672,0.06300169229507446,0.0007,5099,-7.707767009735107,,
26000,257.0,296.2258064516129,127.32275390625,5200,199,130,333.2597961425781,-0.0006380081176757812,0.0007,5199,-7.698642253875732,,
26500,257.0,300.8,-0.09259068220853806,5300,200,132,0.0001773495605448261,3.6776065826416016e-05,0.0007,5299,-7.711479187011719,,
27000,257.0,299.35051546391753,-131.24745178222656,5400,201,134,515.7506713867188,-37.49812316894531,0.0007,5399,-7.70501708984375,,
27500,,,-0.09253279119729996,,,,0.00017337519966531545,0.0038317441940307617,0.0007,5499,-7.69903564453125,257.0,0.0
27500,257.0,301.1111111111111,,5500,197,139,,,,,,,
28000,257.0,299.58,66.4768295288086,5600,198,140,97.30751037597656,-0.12923836708068848,0.0007,5599,-7.6953935623168945,,
28500,257.0,302.55,267.8573303222656,5700,199,142,2019.8863525390625,0.0005712509155273438,0.0007,5699,-7.698558330535889,,
29000,257.0,307.5,-18.99870491027832,5800,200,144,29.17246437072754,-102985.6953125,0.0007,5799,-7.695377349853516,,
29500,257.0,312.11,-60.013336181640625,5900,201,146,483.9117736816406,-45.31938171386719,0.0007,5899,-7.695971965789795,,
30000,,,-0.027683615684509277,,,,1.527763561171014e-05,0.4797189235687256,0.0007,5999,-7.707259654998779,257.0,0.0
30000,257.0,316.91,,6000,196,152,,,,,,,
30500,257.0,319.55,-0.08050423860549927,6100,197,154,0.0001252318761544302,0.0005368590354919434,0.0007,6099,-7.675076484680176,,
31000,257.0,323.16,-0.020313173532485962,6200,198,155,7.962239578773733e-06,-0.0023963451385498047,0.0007,6199,-7.6813483238220215,,
31500,257.0,319.67,-0.0361657552421093,6300,199,157,2.4917710106819868e-05,0.00012683868408203125,0.0007,6299,-7.67538595199585,,
32000,257.0,319.51,18.4207763671875,6400,200,159,20.63228416442871,0.3720705509185791,0.0007,6399,-7.695526123046875,,
32500,,,172.10707092285156,,,,501.26641845703125,0.0,0.0007,6499,-7.70857572555542,257.0,0.0
32500,257.0,315.97,,6500,197,164,,,,,,,
33000,257.0,319.35,-0.02633172832429409,6600,197,166,1.4125179404800292e-05,0.012070238590240479,0.0007,6599,-7.718009948730469,,
33500,257.0,317.04,-114.5955810546875,6700,198,168,468.9310607910156,-1.3354384899139404,0.0007,6699,-7.699577331542969,,
34000,257.0,313.02,-0.12010876089334488,6800,199,170,0.0003022243909072131,-0.0014954805374145508,0.0007,6799,-7.703426361083984,,
34500,257.0,311.57,-0.03830631449818611,6900,200,172,0.00012120673636673018,-1.8297877311706543,0.0007,6899,-7.709824562072754,,
35000,,,9.307517051696777,,,,1.513668417930603,2.980232238769531e-07,0.0007,6999,-7.695436954498291,257.0,0.0
35000,257.0,317.66,,7000,196,178,,,,,,,
35500,257.0,316.09,-0.0752733126282692,7100,197,179,0.00010961299994960427,0.0018501877784729004,0.0007,7099,-7.689342498779297,,
36000,257.0,318.33,-0.6388430595397949,7200,198,181,0.02406032755970955,-627.3650512695312,0.0007,7199,-7.688201904296875,,
36500,257.0,319.1,-0.07750902324914932,7300,199,183,0.00012430323113221675,-0.0016499757766723633,0.0007,7299,-7.675999641418457,,
37000,257.0,314.81,-0.095559261739254,7400,199,185,0.00018528976943343878,0.031445205211639404,0.0007,7399,-7.687826633453369,,
37500,,,-0.1261904537677765,,,,0.000316828052746132,4.5299530029296875e-06,0.0007,7499,-7.694805145263672,257.0,0.0
37500,257.0,312.8,,7500,196,190,,,,,,,
38000,257.0,314.58,81.08027648925781,7600,197,192,112.84832000732422,0.7576487809419632,0.0007,7599,-7.6898512840271,,
38500,257.0,311.89,-0.17102237045764923,7700,198,193,0.0006544938660226762,-3.1113624572753906e-05,0.0007,7699,-7.702068328857422,,
39000,257.0,310.92,-0.07300465553998947,7800,199,195,0.0001068988858605735,-2.288818359375e-05,0.0007,7799,-7.7060227394104,,
39500,257.0,308.28,-0.13249681890010834,7900,199,197,0.0003599800693336874,0.00010120868682861328,0.0007,7899,-7.711938381195068,,
40000,,,244.465087890625,,,,1092.621337890625,-22.7617244720459,0.0007,7999,-7.717445373535156,257.0,0.0
40000,257.0,308.71,,8000,197,202,,,,,,,
40500,257.0,305.3,-0.010784800164401531,8100,197,204,2.4584448965470074e-06,-0.35019052028656006,0.0007,8099,-7.719407081604004,,
41000,257.0,304.75,-0.1890423744916916,8200,198,206,0.00071460020262748,-3.0994415283203125e-06,0.0007,8199,-7.713759899139404,,
41500,257.0,303.36,-0.02335662953555584,8300,199,208,1.0945637768600136e-05,0.00021696090698242188,0.0007,8299,-7.716360569000244,,
42000,257.0,303.09,4.447523593902588,8400,200,209,0.5775752067565918,-0.00010347366333007812,0.0007,8399,-7.715487003326416,,
42500,,,14.861398696899414,,,,3.8136086463928223,-0.3828355073928833,0.0007,8499,-7.71277379989624,257.0,0.0
42500,257.0,299.3,,8500,196,216,,,,,,,
43000,257.0,299.17,-0.09045732021331787,8600,197,217,0.00016877465532161295,0.002834796905517578,0.0007,8599,-7.709680080413818,,
43500,257.0,298.41,-0.09364951401948929,8700,198,219,0.0001778146397555247,0.07641869783401489,0.0007,8699,-7.708531379699707,,
44000,257.0,290.7,-0.06807155907154083,8800,198,221,9.516678255749866e-05,0.008602619171142578,0.0007,8799,-7.71087646484375,,
44500,257.0,290.61,315.1822204589844,8900,199,223,1886.7269287109375,0.0,0.0007,8899,-7.710597991943359,,
45000,,,160.73550415039062,,,,790.4533081054688,-71.005859375,0.0007,8999,-7.717980861663818,257.0,0.0
45000,257.0,291.9,,9000,197,228,,,,,,,
45500,257.0,290.38,153.12548828125,9100,197,229,551.6234741210938,1.1920928955078125e-07,0.0007,9099,-7.712599277496338,,
46000,257.0,291.96,-0.003162271110340953,9200,198,231,2.1292395047112223e-07,-0.05006122589111328,0.0007,9199,-7.712332248687744,,
46500,257.0,287.58,-0.05336316302418709,9300,199,233,6.204827514011413e-05,-0.02652871608734131,0.0007,9299,-7.709878444671631,,
47000,257.0,287.83,-1.553350806236267,9400,199,235,301.9656677246094,-671.1122436523438,0.0007,9399,-7.7043609619140625,,
47500,,,-0.09898258000612259,,,,0.00019952180446125567,-0.0003083944320678711,0.0007,9499,-7.704293727874756,257.0,0.0
47500,257.0,290.98,,9500,198,239,,,,,,,
48000,257.0,293.11,-0.04524756595492363,9600,199,241,4.047429683851078e-05,3.647804260253906e-05,0.0007,9599,-7.704416751861572,,
48500,257.0,291.1,124.5816650390625,9700,199,242,337.6466979980469,-1018.2476196289062,0.0007,9699,-7.714097499847412,,
49000,257.0,292.46,223.9989776611328,9800,200,244,937.3241577148438,0.0,0.0007,9799,-7.7038254737854,,
49500,257.0,298.01,114.85516357421875,9900,200,246,285.4596862792969,-0.001236557960510254,0.0007,9899,-7.678114414215088,,
50000,,,52.11408615112305,,,,45.092994689941406,-0.00026869773864746094,0.0007,9999,-7.681849956512451,257.0,0.0
50000,257.0,292.66,,10000,198,251,,,,,,,
50500,257.0,297.51,-4.789571285247803,10100,199,253,3.603416919708252,-19.39469337463379,0.0007,10099,-7.6840057373046875,,
51000,257.0,293.34,391.01300048828125,10200,199,255,2500.934326171875,0.0,0.0007,10199,-7.676869869232178,,
51500,257.0,294.96,-0.06857199966907501,10300,200,256,0.00010259140253765509,-0.07493805885314941,0.0007,10299,-7.692230224609375,,
52000,257.0,299.34,85.89337921142578,10400,200,258,161.10301208496094,1.1920928955078125e-07,0.0007,10399,-7.6865553855896,,
52500,,,-51.92899703979492,,,,64.4861831665039,0.11621707677841187,0.0007,10499,-7.677600383758545,257.0,0.0
52500,257.0,300.46,,10500,199,262,,,,,,,
53000,257.0,299.08,88.94609832763672,10600,200,264,173.86863708496094,-0.31221282482147217,0.0007,10599,-7.689412593841553,,
53500,257.0,301.66,69.18934631347656,10700,200,266,197.33242797851562,-4.944502830505371,0.0007,10699,-7.699252605438232,,
54000,257.0,300.71,-0.007206946145743132,10800,201,268,1.0561938097453094e-06,0.026839137077331543,0.0007,10799,-7.696211338043213,,
54500,257.0,300.05,312.6705627441406,10900,201,270,2227.399658203125,-220.07325744628906,0.0007,10899,-7.680239200592041,,
55000,,,53.95610427856445,,,,71.9861831665039,-45.104557037353516,0.0007,10999,-7.687751770019531,257.0,0.0
55000,257.0,304.96,,11000,199,276,,,,,,,
55500,257.0,300.65,-0.00511917332187295,11100,199,277,1.5780491366967908e-06,-2.3072898387908936,0.0007,11099,-7.696579933166504,,
56000,257.0,297.99,394.3807678222656,11200,200,279,2796.94921875,-4.068718910217285,0.0007,11199,-7.704737186431885,,
56500,257.0,300.93,268.5584716796875,11300,200,281,1243.1580810546875,-2.9095916748046875,0.0007,11299,-7.685830593109131,,
57000,257.0,305.42,-51.15449142456055,11400,201,283,348.92730712890625,-145.04702758789062,0.0007,11399,-7.7003397941589355,,
57500,,,199.66458129882812,,,,1180.6431884765625,-1674.5877685546875,0.0007,11499,-7.691162109375,257.0,0.0
57500,257.0,305.78,,11500,198,289,,,,,,,
58000,257.0,304.86,-0.0545465461909771,11600,199,291,5.5004842579364777e-05,-0.003942131996154785,0.0007,11599,-7.707134246826172,,
58500,257.0,298.38,-0.2338252067565918,11700,199,292,0.000906759116332978,-0.16489791870117188,0.0007,11699,-7.701521396636963,,
59000,257.0,300.57,170.8728485107422,11800,200,294,1053.25732421875,-26.605031967163086,0.0007,11799,-7.69794225692749,,
59500,257.0,295.32,-0.029464367777109146,11900,200,296,2.0219504222040996e-05,0.3007405400276184,0.0007,11899,-7.7011399269104,,
60000,,,-26.373533248901367,,,,15.777583122253418,0.16981124877929688,0.0007,11999,-7.702693462371826,257.0,0.0
60000,257.0,294.88,,12000,198,302,,,,,,,
60500,257.0,295.07,0.35122790932655334,12100,198,304,0.10592179745435715,0.33522576093673706,0.0007,12099,-7.699464321136475,,
61000,257.0,293.76,-0.06225872039794922,12200,199,306,8.241973409894854e-05,-0.028899073600769043,0.0007,12199,-7.706150054931641,,
61500,257.0,293.02,-22.895601272583008,12300,199,307,101.38097381591797,-50.666465759277344,0.0007,12299,-7.698779582977295,,
62000,257.0,302.26,-22.820735931396484,12400,200,309,16.90778160095215,-4.458498954772949,0.0007,12399,-7.693957805633545,,
62500,,,-71.44515228271484,,,,435.3186950683594,-19567477.0,0.0007,12499,-7.696484565734863,257.0,0.0
62500,257.0,302.05,,12500,198,314,,,,,,,
63000,257.0,299.72,-0.019767841324210167,12600,198,316,7.94762308942154e-06,-0.000568389892578125,0.0007,12599,-7.697593688964844,,
63500,257.0,296.86,175.0178680419922,12700,199,318,593.8318481445312,0.0,0.0007,12699,-7.681163787841797,,
64000,257.0,300.76,-0.1452169269323349,12800,199,320,0.0005479186656884849,-18.035871505737305,0.0007,12799,-7.704402923583984,,
64500,257.0,293.61,-66.46812438964844,12900,200,322,523.9234619140625,-213.82167053222656,0.0007,12899,-7.696710109710693,,
65000,,,-0.09539690613746643,,,,0.00018575902504380792,-2.3245811462402344e-05,0.0007,12999,-7.704789161682129,257.0,0.0
65000,257.0,295.9,,13000,198,328,,,,,,,
65500,257.0,298.11,-0.0855078250169754,13100,198,330,0.00014733422722201794,6.532669067382812e-05,0.0007,13099,-7.706593990325928,,
66000,257.0,294.01,-19.227258682250977,13200,198,331,37.91377639770508,-138.46429443359375,0.0007,13199,-7.704097270965576,,
66500,257.0,293.75,-0.05211424455046654,13300,199,333,5.329615669324994e-05,-0.0008268356323242188,0.0007,13299,-7.708770751953125,,
67000,257.0,291.85,-0.051230695098638535,13400,199,335,8.296939631691203e-05,-30.218210220336914,0.0007,13399,-7.712338924407959,,
67500,,,-0.0046209185384213924,,,,2.3153652364271693e-05,0.0709843635559082,0.0007,13499,-7.71511697769165,257.0,0.0
67500,257.0,289.7,,13500,197,341,,,,,,,
68000,257.0,290.01,-0.038507454097270966,13600,198,343,3.30199945892673e-05,0.30626457929611206,0.0007,13599,-7.7137980461120605,,
68500,257.0,295.26,-141.8741912841797,13700,198,344,575.0711669921875,-12.0831880569458,0.0007,13699,-7.6985907554626465,,
69000,257.0,291.58,-0.1527692824602127,13800,199,346,0.00046990514965727925,0.010905086994171143,0.0007,13799,-7.7010178565979,,
69500,257.0,294.22,-0.060487981885671616,13900,199,348,7.339557487284765e-05,-0.0023670196533203125,0.0007,13899,-7.6992411613464355,,
70000,,,-0.07173363119363785,,,,0.00010665366426110268,-3.218650817871094e-05,0.0007,13999,-7.698307037353516,257.0,0.0
70000,257.0,295.68,,14000,197,354,,,,,,,
70500,257.0,299.76,-215.86973571777344,14100,197,356,1262.14306640625,-133.1097412109375,0.0007,14099,-7.683879375457764,,
71000,257.0,302.24,-0.038112521171569824,14200,198,358,2.9163173167034984e-05,0.004504859447479248,0.0007,14199,-7.702582836151123,,
71500,257.0,297.5,241.5696258544922,14300,198,360,1700.5750732421875,-105.11492919921875,0.0007,14299,-7.702530860900879,,
72000,257.0,301.42,-6.873574733734131,14400,198,361,6.0444464683532715,-31.964004516601562,0.0007,14399,-7.707652568817139,,
72500,,,-227.8759307861328,,,,1470.6324462890625,-16.566055297851562,0.0007,14499,-7.698289394378662,257.0,0.0
72500,257.0,303.7,,14500,197,367,,,,,,,
73000,257.0,306.57,4.491128921508789,14600,197,369,0.5713568925857544,-0.06622660160064697,0.0007,14599,-7.694023132324219,,
73500,257.0,302.16,193.00096130371094,14700,197,371,1317.7989501953125,-18.992938995361328,0.0007,14699,-7.7142014503479,,
74000,257.0,304.0,-0.07072677463293076,14800,198,373,0.00010236550588160753,1.1920928955078125e-07,0.0007,14799,-7.706236362457275,,
74500,257.0,303.68,-0.0212994497269392,14900,198,374,1.411942230333807e-05,0.18054711818695068,0.0007,14899,-7.693469524383545,,
75000,,,-0.07268800586462021,,,,0.00010425832442706451,-0.016529202461242676,0.0007,14999,-7.7050909996032715,257.0,0.0
75000,257.0,304.05,,15000,197,379,,,,,,,
75500,257.0,303.88,-0.0664229765534401,15100,198,380,9.288678847951815e-05,0.0,0.0007,15099,-7.698727607727051,,
76000,257.0,296.77,25.793249130249023,15200,198,382,149.51727294921875,-16.2207088470459,0.0007,15199,-7.7065110206604,,
76500,257.0,301.26,-66.47412109375,15300,198,384,392.8433532714844,-2425330.0,0.0007,15299,-7.699925422668457,,
77000,257.0,297.54,-0.06782194972038269,15400,199,386,9.263964602723718e-05,0.001207590103149414,0.0007,15399,-7.6982598304748535,,
77500,,,-102.3048324584961,,,,690.8623657226562,-2145.85693359375,0.0007,15499,-7.693179607391357,257.0,0.0
77500,257.0,300.25,,15500,198,390,,,,,,,
78000,257.0,299.55,68.23417663574219,15600,198,392,135.52413940429688,-2.523975372314453,0.0007,15599,-7.69337797164917,,
78500,257.0,294.39,78.9352798461914,15700,199,394,123.93126678466797,0.0,0.0007,15699,-7.6922502517700195,,
79000,257.0,292.29,-0.04250098019838333,15800,199,395,3.5105877032037824e-05,-0.003418564796447754,0.0007,15799,-7.699316501617432,,
79500,257.0,294.91,-38.22623825073242,15900,199,397,145.4828338623047,-724.349609375,0.0007,15899,-7.698467254638672,,
80000,,,-367.7447204589844,,,,2312.979248046875,-0.23703324794769287,0.0007,15999,-7.701976776123047,257.0,0.0
80000,257.0,293.54,,16000,198,403,,,,,,,
80500,257.0,292.44,-3.0959060192108154,16100,198,405,1.1780575513839722,0.2330651879310608,0.0007,16099,-7.697349548339844,,
81000,257.0,289.92,-0.02997131459414959,16200,198,407,1.7550830307300203e-05,-0.04816639423370361,0.0007,16199,-7.7136549949646,,
81500,257.0,297.31,-11.12930965423584,16300,199,408,438.2411193847656,-327.69622802734375,0.0007,16299,-7.709939479827881,,
82000,257.0,298.83,-0.0793444886803627,16400,199,410,0.00012861464347224683,-0.04634284973144531,0.0007,16399,-7.704867839813232,,
82500,,,-98.71307373046875,,,,774.886962890625,-22645691.0,0.0007,16499,-7.702050685882568,257.0,0.0
82500,257.0,292.64,,16500,198,416,,,,,,,
83000,257.0,291.54,-0.03497342765331268,16600,198,417,2.618422149680555e-05,0.13597887754440308,0.0007,16599,-7.705815315246582,,
83500,257.0,296.38,-0.054588984698057175,16700,198,419,6.133862916612998e-05,0.002114236354827881,0.0007,16699,-7.698997497558594,,
84000,257.0,297.35,149.80947875976562,16800,199,421,1417.494384765625,-481.89422607421875,0.0007,16799,-7.690406799316406,,
84500,257.0,296.87,-394.0547790527344,16900,199,423,2686.83935546875,-4.331150531768799,0.0007,16899,-7.683042049407959,,
85000,,,87.65637969970703,,,,201.05877685546875,-13.826793670654297,0.0007,16999,-7.688725471496582,257.0,0.0
85000,257.0,293.15,,17000,197,429,,,,,,,
85500,257.0,291.38,-0.07354068756103516,17100,198,431,0.00010475326416781172,0.002872765064239502,0.0007,17099,-7.695797920227051,,
86000,257.0,293.94,201.92550659179688,17200,198,432,1542.4554443359375,-32.28444290161133,0.0007,17199,-7.700657844543457,,
86500,257.0,292.81,-0.03013819456100464,17300,199,434,1.898959271784406e-05,-0.022177577018737793,0.0007,17299,-7.71478271484375,,
87000,257.0,292.81,-0.11035922914743423,17400,199,436,0.0002348900743527338,-0.0011855363845825195,0.0007,17399,-7.711215496063232,,
87500,,,206.54150390625,,,,914.2482299804688,-18.119224548339844,0.0007,17499,-7.706475734710693,257.0,0.0
87500,257.0,293.91,,17500,197,442,,,,,,,
88000,257.0,294.85,-0.09278424829244614,17600,198,444,0.000175840497831814,0.0003330111503601074,0.0007,17599,-7.713235378265381,,
88500,257.0,292.44,-0.094996377825737,17700,198,446,0.00019151273590978235,0.008131146430969238,0.0007,17699,-7.705465793609619,,
89000,257.0,301.19,225.6077117919922,17800,198,447,1724.729736328125,-6533.697265625,0.0007,17799,-7.696756839752197,,
89500,257.0,301.56,-180.67515563964844,17900,199,449,1380.3074951171875,-1307.4283447265625,0.0007,17899,-7.699854373931885,,
90000,,,-0.06440242379903793,,,,8.563536539440975e-05,-0.0006593465805053711,0.0007,17999,-7.700666904449463,257.0,0.0
90000,257.0,295.32,,18000,197,455,,,,,,,
90500,257.0,296.11,18.294523239135742,18100,197,457,5.674342632293701,-1.6079134941101074,0.0007,18099,-7.6924896240234375,,
91000,257.0,299.28,-0.09894611686468124,18200,198,459,0.00020089640747755766,-3.349781036376953e-05,0.0007,18199,-7.669249057769775,,
91500,257.0,300.08,175.18118286132812,18300,198,461,663.6121215820312,-0.011043071746826172,0.0007,18299,-7.6780290603637695,,
92000,257.0,301.14,334.91082763671875,18400,198,462,2869.491943359375,-418.32147216796875,0.0007,18399,-7.674683570861816,,
92500,,,373.2183532714844,,,,3621.19970703125,-51.41203308105469,0.0007,18499,-7.679925441741943,257.0,0.0
92500,257.0,301.75,,18500,197,468,,,,,,,
93000,257.0,300.95,283.7272644042969,18600,197,470,1602.5511474609375,-0.007525444030761719,0.0007,18599,-7.6860880851745605,,
93500,257.0,297.62,-0.048686373978853226,18700,197,472,4.9484107876196504e-05,0.0019102096557617188,0.0007,18699,-7.699665069580078,,
94000,257.0,297.18,-0.025332165881991386,18800,198,474,1.312822314503137e-05,-0.0032025575637817383,0.0007,18799,-7.7042975425720215,,
94500,257.0,300.21,539.3145751953125,18900,198,476,4736.06982421875,-0.0037736892700195312,0.0007,18899,-7.6980814933776855,,
95000,,,256.8416442871094,,,,1252.765869140625,0.0,0.0007,18999,-7.679200649261475,257.0,0.0
95000,257.0,304.2,,19000,197,482,,,,,,,
95500,257.0,303.23,101.25992584228516,19100,197,484,212.8488006591797,-43.10052490234375,0.0007,19099,-7.692613124847412,,
96000,257.0,307.6,-0.04741760715842247,19200,197,485,4.3429921788629144e-05,0.3026832938194275,0.0007,19199,-7.699683666229248,,
96500,257.0,310.49,-491.5375061035156,19300,197,487,4092.099609375,-0.06512391567230225,0.0007,19299,-7.69424295425415,,
97000,257.0,310.52,0.0754259005188942,19400,198,489,0.00041116532520391047,-61.40614700317383,0.0007,19399,-7.708803653717041,,
97500,,,-0.0630389079451561,,,,8.668877853779122e-05,-3.3222761154174805,0.0007,19499,-7.71469259262085,257.0,0.0
97500,257.0,312.28,,19500,197,493,,,,,,,
